['PZHMJCDOQGPRBM-UHFFFAOYSA-N', 'active', 1.0]
['JUCLTYVYMPTBOO-UHFFFAOYSA-N', 'active', 1.0]
['BVBNAQFDHYETQB-UHFFFAOYSA-N', 'active', 1.0]
['ARZSNJRUZBURRZ-UHFFFAOYSA-N', 'active', 1.0]
['DEWKSAZQGAHBKA-UHFFFAOYSA-N', 'active', 1.0]
['XVDNHPUSYZADCC-UHFFFAOYSA-N', 'active', 1.0]
['RFNSSCNURFBJDO-UHFFFAOYSA-N', 'active', 1.0]
['IKLZABIBCNGQCI-UHFFFAOYSA-N', 'active', 1.0]
['WIDXMNNPSRZUBV-UHFFFAOYSA-N', 'active', 1.0]
['VJJZDNGAMHEHLU-UHFFFAOYSA-N', 'active', 1.0]
['RGLGTURZPREZLT-VZUCSPMQSA-N', 'active', 1.0]
['LVTPSHSANMIXKM-PUHLOBNQSA-N', 'active', 1.0]
['PTUHYTBYSPMGDJ-HIWRWHBISA-N', 'active', 1.0]
['YZROILXZGCBGFS-ZHSUKTGHSA-N', 'active', 1.0]
['XITGIVAWZDGGHV-ROPCREHHSA-N', 'active', 1.0]
['SNHFDTUVNYGYCB-UHFFFAOYSA-N', 'active', 1.0]
['HMGZXLRACPRIOA-UHFFFAOYSA-N', 'active', 1.0]
['MPEOGYXCTPJLOK-UHFFFAOYSA-N', 'active', 1.0]
['XCXZBIZBMIWDPX-UHFFFAOYSA-N', 'active', 1.0]
['NSGQSVFNJFEURL-UHFFFAOYSA-N', 'active', 1.0]
['CUHTUYOAOJAYME-UHFFFAOYSA-N', 'active', 1.0]
['YLXHLOMDMMOWNB-UHFFFAOYSA-N', 'active', 1.0]
['UPNKEWMCUVAIRN-UHFFFAOYSA-N', 'active', 1.0]
['JVFUVANOBVEHRZ-UHFFFAOYSA-N', 'active', 1.0]
['AQEQCEAEXNSHDP-UHFFFAOYSA-N', 'active', 1.0]
['GAYSYNBBTMJSRX-UHFFFAOYSA-M', 'active', 1.0]
['DNDDUIHNGRMIDW-XJDOXCRVSA-N', 'active', 1.0]
['VTIIHTOPZVGWNH-UHFFFAOYSA-N', 'active', 1.0]
['OEOXQDAQTGGYSH-CVEARBPZSA-N', 'active', 1.0]
['OEOXQDAQTGGYSH-HZPDHXFCSA-N', 'active', 1.0]
['GHQVOYCDRZKHGP-UHFFFAOYSA-N', 'active', 1.0]
['HTUGNJUOLCHNPJ-UHFFFAOYSA-N', 'active', 1.0]
['BWPKBKMQWGZVKA-UHFFFAOYSA-N', 'active', 1.0]
['KQSKAMDYPHZQIR-UHFFFAOYSA-N', 'active', 1.0]
['AXGLNIDGYUYOGO-UHFFFAOYSA-N', 'active', 1.0]
['ZWFAMNYVYYLXLF-UHFFFAOYSA-N', 'active', 1.0]
['WINVYSFYWBXUQM-UHFFFAOYSA-N', 'active', 1.0]
['PWHGHAZYGUIHSJ-UHFFFAOYSA-N', 'active', 1.0]
['GUXMRTOOPXLCGJ-UHFFFAOYSA-N', 'active', 1.0]
['GBIUJRREVDQQPK-UHFFFAOYSA-N', 'active', 1.0]
['FNKMIXDVAFXHRN-UHFFFAOYSA-N', 'active', 1.0]
['FDCZSTMKGSCCIA-UHFFFAOYSA-N', 'active', 1.0]
['RIQABCQFNMRXGD-NSCUHMNNSA-N', 'active', 1.0]
['ILAMEGXSIDAMQS-UHFFFAOYSA-N', 'active', 1.0]
['JTJOPXMIAYWYOY-UHFFFAOYSA-N', 'active', 1.0]
['AJSIOKXUUWIIMS-UHFFFAOYSA-N', 'active', 1.0]
['CIQZNNDNYXYZRX-UHFFFAOYSA-N', 'active', 1.0]
['LBAWJARRIMBOIK-UHFFFAOYSA-N', 'active', 1.0]
['TWTKBWKPFMJMOX-UHFFFAOYSA-N', 'active', 1.0]
['XVQVJOVUQYDONJ-UHFFFAOYSA-N', 'active', 1.0]
['JGNINMIPUMHQHE-AQHIEDMUSA-N', 'active', 1.0]
['CZCUSNQZHNYXNJ-WEVVVXLNSA-N', 'active', 1.0]
['CPPIATMQRMGJPR-UHFFFAOYSA-N', 'active', 1.0]
['ALLQCGZXBPKYSG-UHFFFAOYSA-N', 'active', 1.0]
['QHTZGTDGFHTCOG-UHFFFAOYSA-N', 'active', 1.0]
['RMOKRFIGJYKHBC-UHFFFAOYSA-N', 'active', 1.0]
['IBGHYDIOSGMJCT-UHFFFAOYSA-N', 'active', 1.0]
['VTZVEVBBXGRODA-UHFFFAOYSA-N', 'active', 1.0]
['APZUUSIJEXDZHR-UHFFFAOYSA-N', 'active', 1.0]
['IIXFJXWFSGAMJW-UHFFFAOYSA-N', 'active', 1.0]
['FDNODAXAWVVNAR-UHFFFAOYSA-N', 'active', 1.0]
['INEQZCFZPSEZKW-UHFFFAOYSA-N', 'active', 1.0]
['JZIOODYWXRIKDF-UHFFFAOYSA-N', 'active', 1.0]
['JHZWEYCWMPNVEC-UHFFFAOYSA-N', 'active', 1.0]
['ZCCMWGDDJCZIRM-UHFFFAOYSA-N', 'active', 1.0]
['ZSNHENMRSHEOKB-UHFFFAOYSA-N', 'active', 1.0]
['QJHXTCALJJBWDG-UHFFFAOYSA-N', 'active', 1.0]
['ZQIMISSUUAZNSZ-UHFFFAOYSA-N', 'active', 1.0]
['AOCQEMKYGLXHJH-UHFFFAOYSA-N', 'active', 1.0]
['PSHCGNHPVSVGCS-UHFFFAOYSA-N', 'active', 1.0]
['MKXFUXKUEIXJCN-UHFFFAOYSA-N', 'active', 1.0]
['FSZSLBCGSUGPGV-UHFFFAOYSA-N', 'active', 1.0]
['LPXRBMITXODYIP-UHFFFAOYSA-N', 'active', 1.0]
['OZFVBQBPYYTSCY-UHFFFAOYSA-N', 'active', 1.0]
['BZNNMOWCHDCPDT-UHFFFAOYSA-N', 'active', 1.0]
['WBSWXHFVMFNPKJ-UHFFFAOYSA-N', 'active', 1.0]
['DVWCHOAVTLDWJF-UHFFFAOYSA-N', 'active', 1.0]
['MJXZOAXIOKDLHJ-UHFFFAOYSA-N', 'active', 1.0]
['SILQWVWIGTVRDM-UHFFFAOYSA-N', 'active', 1.0]
['QEZPMZCPCZXFLG-UHFFFAOYSA-N', 'active', 1.0]
['KVUALMYLFXFXNP-UHFFFAOYSA-N', 'active', 1.0]
['UTXHUOPRPZTPFF-UHFFFAOYSA-N', 'active', 1.0]
['IOKLAJPKQRCNAY-UHFFFAOYSA-N', 'active', 1.0]
['PUBHTELOHKEOFU-UHFFFAOYSA-N', 'active', 1.0]
['XRXKLKJRBJOYLK-UHFFFAOYSA-N', 'active', 1.0]
['KVGWMQXQYIEIBF-UHFFFAOYSA-N', 'active', 1.0]
['NFPHGJYIEMABAK-UHFFFAOYSA-N', 'active', 1.0]
['UKGTUEKRGMPQFB-UHFFFAOYSA-N', 'active', 1.0]
['DXYGTBNKASHGAP-UHFFFAOYSA-N', 'active', 1.0]
['CHZKLRSYBBOYKL-UHFFFAOYSA-N', 'active', 1.0]
['YLYVJUTZFHFMHS-UHFFFAOYSA-N', 'active', 1.0]
['AHMVEEGDUYVMSR-UHFFFAOYSA-N', 'active', 1.0]
['SLGOOIOKQLXWCQ-SNAWJCMRSA-N', 'active', 1.0]
['JWPAQKYEHSCXRG-UHFFFAOYSA-N', 'active', 1.0]
['ZTKPCZHOFXSRFZ-UHFFFAOYSA-N', 'active', 1.0]
['RNFAZFXNRKFCAN-UHFFFAOYSA-N', 'active', 1.0]
['ARLGVHZTNAZDOT-UHFFFAOYSA-N', 'active', 1.0]
['ZLLMWSHYEYSHLF-UHFFFAOYSA-N', 'active', 1.0]
['NPJHSZJJFYOOAX-UHFFFAOYSA-N', 'active', 1.0]
['GRKOFEXHGMNFDD-UHFFFAOYSA-N', 'active', 1.0]
['GDGGQINIIOLFPJ-UHFFFAOYSA-N', 'active', 1.0]
['FKQILYPYEKHAMZ-UHFFFAOYSA-N', 'active', 1.0]
['DCSFMDZWRGAOFI-UHFFFAOYSA-N', 'active', 1.0]
['SKADCPXGHWAWHQ-UHFFFAOYSA-N', 'active', 1.0]
['WXSDINOCICCIDD-UHFFFAOYSA-N', 'active', 1.0]
['ZAKSTHIIWHODFS-UHFFFAOYSA-N', 'active', 1.0]
['ZRZSTTBDFYCDDN-UHFFFAOYSA-N', 'active', 1.0]
['UEPWMFFDWAZVAJ-UHFFFAOYSA-N', 'active', 1.0]
['WZXCLZANDKZJNH-UHFFFAOYSA-N', 'active', 1.0]
['ZEEUZJXVRNWGAN-UHFFFAOYSA-N', 'active', 1.0]
['RGAHCRVSRKWUJR-UHFFFAOYSA-N', 'active', 1.0]
['ZLHJZWDHTFMTFQ-UHFFFAOYSA-N', 'active', 1.0]
['UEKBGEPSWXLUNC-UHFFFAOYSA-N', 'active', 1.0]
['LNEFMMIGVHUULU-UHFFFAOYSA-N', 'active', 1.0]
['TXTVZIRLHOTUQW-UHFFFAOYSA-N', 'active', 1.0]
['JPVMALKHCWYPPA-UHFFFAOYSA-N', 'active', 1.0]
['MBPXDKSBLQGWCM-UHFFFAOYSA-N', 'active', 1.0]
['WRFPQHWYZMAVDA-UHFFFAOYSA-N', 'active', 1.0]
['YPFWNWROERADRG-UHFFFAOYSA-N', 'active', 1.0]
['BQNHEMYTEYZIQI-UHFFFAOYSA-N', 'active', 1.0]
['BREFJAHJRLJMBT-UHFFFAOYSA-N', 'active', 1.0]
['QUGCRUKAXDCQRE-UHFFFAOYSA-N', 'active', 1.0]
['DQZJRTTUKXCGRT-UHFFFAOYSA-N', 'active', 1.0]
['SGNCHGFAOQWGPB-UHFFFAOYSA-N', 'active', 1.0]
['JXXXGPDMPWYNCE-UHFFFAOYSA-N', 'active', 1.0]
['BCHBWNCKTVXBGQ-UHFFFAOYSA-N', 'active', 1.0]
['ILPRZFKJQXXUEL-UHFFFAOYSA-N', 'active', 1.0]
['VMDLRLYWMGODPB-UHFFFAOYSA-N', 'active', 1.0]
['DIXHYNJQKGJNAM-UHFFFAOYSA-N', 'active', 1.0]
['XGERFKJEOMNRDA-UHFFFAOYSA-N', 'active', 1.0]
['KZPCTRKUGBJCKG-UHFFFAOYSA-N', 'active', 1.0]
['NUBIPYVGWLJDCH-UHFFFAOYSA-N', 'active', 1.0]
['YUKZIPJOURXJFZ-UHFFFAOYSA-N', 'active', 1.0]
['BGXCUQOFJBQLLA-UHFFFAOYSA-N', 'active', 1.0]
['TVGPTCKDDGJEOH-UHFFFAOYSA-N', 'active', 1.0]
['OMORDLFEUHSSPG-UHFFFAOYSA-N', 'active', 1.0]
['KZZOBIGMTYUFRZ-UHFFFAOYSA-N', 'active', 1.0]
['YNYXWQXYEKMDCS-UHFFFAOYSA-N', 'active', 1.0]
['ZGUDTNSTULMZFZ-UHFFFAOYSA-N', 'active', 1.0]
['XDWVFWXADADRKU-UHFFFAOYSA-N', 'active', 1.0]
['XFUKMLZKOLSGQT-UHFFFAOYSA-N', 'active', 1.0]
['OATVQTMCSXEWAG-UHFFFAOYSA-N', 'active', 1.0]
['FHQAVJXYKDDCKX-UHFFFAOYSA-N', 'active', 1.0]
['QRSNUUARWQRQPK-UHFFFAOYSA-N', 'active', 1.0]
['RHWWBMFZZLTBDQ-UHFFFAOYSA-N', 'active', 1.0]
['ROMMIAHTXMXPFK-UHFFFAOYSA-N', 'active', 1.0]
['PWZJUJLYQFGTQM-UHFFFAOYSA-N', 'active', 1.0]
['DCNBZRPSMNXSQM-UHFFFAOYSA-N', 'active', 1.0]
['NYBKVKFUUKBKLS-UHFFFAOYSA-N', 'active', 1.0]
['OIJHLVALLGNCPK-UHFFFAOYSA-N', 'active', 1.0]
['QUKHMAOWZSAFJJ-UHFFFAOYSA-N', 'active', 1.0]
['XVONFXDTMIZBFN-UHFFFAOYSA-N', 'active', 1.0]
['WLIYCJHTPWZSIN-UHFFFAOYSA-N', 'active', 1.0]
['BUFGNSFTXVMBFY-UHFFFAOYSA-N', 'active', 1.0]
['XEHPDNVBMIGCCC-UHFFFAOYSA-N', 'active', 1.0]
