,Name,Status,Probability
47,RCQBYARZCJDYHW-HSZRJFAPSA-N,1,1.0
48,FVHNFXBVALQEPW-WUTDNEBXSA-N,1,0.5909090909090909
49,GJBHMDHRKGITMA-RIYZIHGNSA-N,1,1.0
50,ZUCBRUJRWIBMLX-JWQCQUIFSA-N,1,0.5909090909090909
51,ZDCBOKLRJQMVAI-HSZRJFAPSA-N,1,0.5909090909090909
52,CXICEXOWGOQDAE-GOSISDBHSA-N,1,1.0
53,XZXQHLJRMWPJTP-RIYZIHGNSA-N,1,1.0
54,GXWPARSFAAUDFY-HSZRJFAPSA-N,1,1.0
55,OJURJQCEQQSVOQ-FTUXVVSKSA-N,1,1.0
56,GRZNRRRHXHPCCN-BQHJZSHBSA-N,1,1.0
57,RKOYEQKCONUVPY-OAQYLSRUSA-N,1,1.0
58,XHIMNFOJDWPMIP-XYOKQWHBSA-N,1,0.5909090909090909
59,SVDMUEPXEKHWQC-YRNVUSSQSA-N,1,1.0
60,UKAYGLZNWYLPSH-QGZVFWFLSA-N,1,0.5909090909090909
61,DACFGOIDGQNAAI-OQLLNIDSSA-N,1,1.0
62,DAQJJQWUGLJIJG-GOSISDBHSA-N,1,1.0
63,KAAPLRXUOPJYAU-FTJBHMTQSA-N,-1,0.5
64,DQKSGAAGSNRDFB-FHVRUZERSA-N,1,0.6590909090909091
65,JPSOAVPPXNAJMW-RUZDIDTESA-N,1,0.5909090909090909
66,OZOIDJVOCAPKCA-NBILRRPASA-N,1,0.5227272727272727
67,UTYQQIKJODVMFA-GOSISDBHSA-N,1,0.5227272727272727
68,RLLMYSAKUNHIQY-HSZRJFAPSA-N,1,0.5909090909090909
69,ZUCBRUJRWIBMLX-LOSJGSFVSA-N,1,0.5909090909090909
70,QTXDMJQIQDMXPP-RPBOFIJWSA-N,-1,0.5
71,DIFZQFMEJWRSBD-XMMPIXPASA-N,1,0.5909090909090909
72,QTXDMJQIQDMXPP-JWQCQUIFSA-N,-1,0.5
73,BZRXOKPRPWMCRX-GOSISDBHSA-N,1,0.5909090909090909
74,HTTRONHMUOYQTM-HSZRJFAPSA-N,-1,0.5
75,OZSIWYCHYSXIQJ-XMMPIXPASA-N,1,1.0
76,NVSSQTZGQSAGKL-ZTZBWWIOSA-N,1,0.5909090909090909
77,CEZGMYMLBLEGSJ-FWTIMZJOSA-N,1,0.5909090909090909
78,YQPUHXUUOKRRSL-FCTFBEISSA-N,-1,0.5
79,JBFVKDQUMPUGNX-YRNVUSSQSA-N,1,0.5909090909090909
80,FVHNFXBVALQEPW-YRNVUSSQSA-N,1,0.5909090909090909
81,MHPJPOLMCIELFS-WUTDNEBXSA-N,-1,0.5227272727272727
82,HIMHGXXCHNKURH-NBILRRPASA-N,1,0.6136363636363636
83,JSZQMPWCKLNMSX-GPOLZQFCSA-N,1,0.6136363636363636
84,RWFZOCMKERWXEI-XYJBSGBBSA-N,1,0.5909090909090909
85,KAAPLRXUOPJYAU-CLJLJLNGSA-N,-1,0.5
86,FPZWUEGIYYDTRG-WUTDNEBXSA-N,1,0.5909090909090909
87,PWIYPRPUGZDXNO-GPVYEGESSA-N,1,0.6590909090909091
88,MKMLLHCYCWEQHJ-YRNVUSSQSA-N,1,1.0
89,VAPKETCXHSBIDS-FGZHOGPDSA-N,1,0.8863636363636364
90,IXTGHDWXMXJODY-QWDXWUACSA-N,1,1.0
91,FNGWXUSKVKNLMN-NBILRRPASA-N,-1,0.5227272727272727
92,ULJPGJAUFNXESQ-MDWZMJQESA-N,1,0.6818181818181818
93,UFACVKOFSXJDSC-AEVNEEFTSA-N,-1,0.5227272727272727
94,NFXHWQPAWCTQTR-JOCHJYFZSA-N,1,0.5909090909090909
95,DKAMBEHAQOUWDB-XYOKQWHBSA-N,1,0.6590909090909091
96,ORDHNWHVCPQQRX-XYOKQWHBSA-N,1,1.0
97,SSPRHDVETPIMAW-YRNVUSSQSA-N,1,0.5909090909090909
98,BXJXSACPNOQRDE-RUZDIDTESA-N,1,0.5909090909090909
99,BYUZDVSTUSMHRQ-RIYZIHGNSA-N,1,0.5909090909090909
100,ZEWPHRODMPGNAD-UHFFFAOYSA-N,-1,0.5681818181818182
101,IOMMMLWIABWRKL-OEMHODTASA-N,1,0.5909090909090909
102,AAQCNKXELQZHGC-DHXBXMGCSA-N,1,0.6590909090909091
103,VWWHXDGCALREQG-MEJUDOHFSA-N,1,0.5909090909090909
104,FIEVDKPXHAPDIU-JOCHJYFZSA-N,1,0.6590909090909091
105,UQLIJVPLMFPORY-HSRJRILOSA-N,1,0.5909090909090909
106,XBOWFZGBAMQXDI-BEBFYNPSSA-N,1,1.0
107,VPYIGPZDJRFBDM-QMASLXIKSA-N,1,0.6590909090909091
108,QGLHPLZXXVMLMK-VMLCMGRWSA-N,-1,0.5227272727272727
109,RWFZOCMKERWXEI-UKTHLTGXSA-N,1,0.5909090909090909
110,RWFZOCMKERWXEI-TZTLJZABSA-N,1,0.5909090909090909
111,OXGZRQPSOZDAAD-UHFFFAOYSA-N,1,1.0
112,MPWRXIHSVRWQQY-UHFFFAOYSA-N,1,0.6818181818181818
113,MFQPXLMEVXYXBV-UHFFFAOYSA-N,1,1.0
114,SARYXZNCCIJXRI-NRFANRHFSA-N,1,0.6818181818181818
115,LHPLMQAENNEPAD-UHFFFAOYSA-O,-1,0.6590909090909091
116,ROICSKVBYUQUKQ-UHFFFAOYSA-N,1,1.0
117,VTMJQSPPJIJGNW-UHFFFAOYSA-N,1,0.6590909090909091
118,LFJRDQBYPYZMLW-UHFFFAOYSA-N,1,0.6590909090909091
119,XQUZETKLGCMJIF-UHFFFAOYSA-N,1,0.6590909090909091
120,LYKORKBUGRQTBH-UHFFFAOYSA-N,1,0.6590909090909091
121,PYTBGGBGRRJDNT-UHFFFAOYSA-N,1,0.6590909090909091
122,LJOCIHRQARKISZ-UHFFFAOYSA-N,1,0.6590909090909091
123,LJGZGWLYDULDPC-UHFFFAOYSA-N,1,0.5909090909090909
124,KGBUGQNGTLMMHA-UHFFFAOYSA-N,1,0.5909090909090909
125,RZBXGNUKPJTWLR-UHFFFAOYSA-N,1,1.0
126,VKLUVQDVSIZWJX-UHFFFAOYSA-N,1,0.6590909090909091
127,AVCVEZQZXXKVIX-UHFFFAOYSA-N,1,0.6136363636363636
128,IXOQQNFDVYLHBZ-UHFFFAOYSA-N,1,0.5227272727272727
129,VSEAYGHUZUHDJU-UHFFFAOYSA-N,1,0.6590909090909091
130,JVWRWRBDOKNZOY-UHFFFAOYSA-N,1,0.6590909090909091
131,ZABCFUQGJGBKQD-UHFFFAOYSA-N,1,0.6590909090909091
132,CAPIXEHJDZREBF-UHFFFAOYSA-N,1,0.7272727272727273
133,SQBQRXMAIZTRQB-UHFFFAOYSA-N,1,0.6590909090909091
134,KKWHUFLPQXUGDF-UHFFFAOYSA-N,1,0.5227272727272727
135,HUBRLGWVHNTZMK-UHFFFAOYSA-N,1,0.6590909090909091
136,YOOHWZGXGQGQNV-UHFFFAOYSA-N,1,0.5227272727272727
137,LCHZKINRFQRYBT-UHFFFAOYSA-N,1,0.5454545454545454
138,FECTUIFYIULKKU-UHFFFAOYSA-N,1,0.5227272727272727
139,CIYYUESCCXMSTO-UHFFFAOYSA-N,1,0.6136363636363636
140,OCFIXZXQEQCZBS-UHFFFAOYSA-N,1,0.5227272727272727
