Gene_Name,logFC,AveExpr,t,P.Value,adj.P.Val,B
TP53TG3,2.69299296293803,-0.716546402956643,3.64697572564589,0.00329897431286214,0.0168508399172183,-1.73561881059914
FAM103A1,1.01724935637219,4.42038767878512,3.64603140451682,0.00330471247521481,0.0168658775862981,-2.5139401908451
SLIRP,0.926152551938897,5.74451605392182,3.64588871417484,0.00330558041925917,0.0168658775862981,-2.66323752870913
METTL7B,5.39320184369164,0.5885734868581,3.64548100904758,0.00330806165590745,0.0168716164271699,-1.86648618113728
PAK1IP1,1.1353471463956,5.33915078344271,3.64530802305199,0.00330911499980675,0.0168718681953132,-2.6377461683962
PTPN22,5.22320359166734,-0.707006365212277,3.64287658348248,0.00332395681817883,0.0169366000006607,-1.74380775542413
LIMCH1,3.72039966366136,4.06421840049176,3.64073904397138,0.00333706083234488,0.0169731559587033,-2.4499518471551
MRPL36,0.815768034211207,5.3129886734714,3.63984150173807,0.00334257887261818,0.0169960780497272,-2.64582381011717
HOXD4,1.36455261170325,2.57793700759237,3.63877765793745,0.00334913140561854,0.0170190968465133,-2.12961820533952
BAAT,2.7046527742268,-2.04790187754838,3.63826852717293,0.003352271938212,0.017029906264103,-1.64650790893747
WEE1,1.31295270915675,5.48418874283675,3.63755290151471,0.00335669130744934,0.0170420536017179,-2.6636259958687
RGS9BP,3.17567779851133,-0.419965006326366,3.63723205990655,0.00335867460794129,0.0170469727533837,-1.781725754901
ATF1,0.524958122199579,4.26822239153279,3.63393194001304,0.00337914413041479,0.0171418581990589,-2.50627553808007
SLC4A3,0.850055427179233,4.47982865629665,3.63388929524459,0.0033794094741733,0.0171418581990589,-2.54728915646708
VDAC1,0.53895218179173,8.74918464307327,3.63242515347262,0.00338853256616498,0.0171777646378288,-2.68147291025701
BTF3L4,0.983638742275367,5.82540727983493,3.63203119021051,0.00339099165231459,0.017179865757355,-2.6928381102066
ORMDL1,0.567249621181274,5.78297223345225,3.63041113254923,0.00340112310198834,0.0172183796402667,-2.69397814690703
SUMO1,0.759629872154632,6.96426183046225,3.62816868923771,0.00341519786255685,0.0172778283869953,-2.71006646073885
MAP3K5,1.59279885976452,2.66104555178366,3.62694167921993,0.0034229244036411,0.0172999231889289,-2.16672603693504
FANCM,0.681339141362449,3.53915905821738,3.62661881521832,0.00342496046033139,0.0173026748333472,-2.35485973243516
FZD6,1.60324216574051,5.82748397157759,3.62547172632423,0.00343220428721155,0.0173245444624321,-2.70519179891358
VEGFA,1.54370974420639,5.04252374010207,3.6253537019767,0.00343295049448966,0.0173245444624321,-2.64526875703339
ATAD2,1.29740234187852,6.38875849422545,3.62461814216647,0.00343760479804178,0.0173388300900728,-2.7186182598343
EOGT,0.956557232646649,5.56294898715004,3.62458024021042,0.00343784479976928,0.0173388300900728,-2.69302161007968
SMPDL3B,3.8186990748387,-2.52810370189417,3.62310077978372,0.00344722638643672,0.0173748350161656,-1.64509161150929
C16ORF52,1.20797294536998,4.88164032989484,3.62278069576991,0.00344925954929307,0.0173755415844934,-2.63029382348753
NREP,3.86052652559653,4.32586872657084,3.61926210437566,0.00347169043853798,0.0174728235458613,-2.54536026438318
MLF1,0.943999625163924,3.90281815245328,3.61833179694498,0.00347764598330133,0.0174923198890688,-2.45504794724075
ZNF331,0.915259553839303,3.44469190587144,3.61638349956679,0.00349015222549815,0.0175394761212609,-2.35197944310422
