GeneID,SRX3270441,SRX3270442,SRX3270443,SRR7947406,SRR7947407,SRR7947408
CAMTA1,3162,1583,2781,3471,2864,2765
LGALS4,10,10,6,27,13,11
LRRC34,329,138,175,687,293,196
PAH,8,2,7,0,0,0
SPATA5L1,401,198,299,449,291,366
GATM,1130,784,826,294,359,474
SYCE1,2,2,0,142,97,34
NXNL1,0,0,0,22,41,17
RASGRP4,3,1,2,8,1,1
NHLH1,765,563,816,70,663,1075
SLFNL1,10,9,19,54,16,7
BCL2,715,330,652,801,988,886
RHNO1,1237,491,853,1951,1556,1144
CTPS1,2540,1487,2217,4631,5789,6369
UTF1,0,0,0,0,4,0
KNDC1,105,48,106,235,186,24
WDR87,0,0,0,0,0,0
METTL18,262,130,165,226,195,110
CFAP46,124,65,90,142,98,44
COL8A2,12,3,11,32,30,27
PWWP2B,29,17,38,230,241,224
PCDHB1,0,0,0,0,2,0
ZNF540,181,89,225,360,307,140
ANGPTL7,1,0,6,23,103,45
FBXL14,35,32,45,245,237,181
EXOSC10,2525,1269,2327,3669,2417,2293
ZNF570,494,258,538,488,515,482
NINJ2,1,0,3,20,0,0
MLLT3,771,471,795,635,627,203
FAM90A1,3,3,2,3,8,2
RRM2,2699,1200,1593,10497,16278,16730
TRAPPC12,402,204,364,1720,2293,1991
IFNB1,0,0,0,0,0,0
RPS21,2213,927,2338,9306,5163,4425
C3AR1,10,3,11,98,0,1
MRM3,122,57,142,379,366,294
PTEN,2265,1254,2004,1673,1477,1200
RPS7,13019,5877,11632,26475,25279,24185
PRND,0,0,0,1,0,0
RNASEH1,339,171,307,369,1078,1107
PRNP,686,358,862,5407,4057,2409
KLF17,0,0,0,3,0,0
ADRA1D,0,0,1,29,2,2
FRMD5,331,277,494,267,506,429
AQP4,4,0,4,391,221,72
MIR31HG,0,0,0,0,0,0
CYP4F11,0,0,1,0,0,0
TLN2,768,249,496,2634,2536,2058
LGALS9C,0,0,0,152,71,27
TVP23B,568,320,460,510,321,365
FBXW10,7,6,8,8,0,2
OR10H3,0,0,0,0,0,0
ZNF217,640,295,365,129,272,382
OR10H2,0,0,0,0,0,0
SRGAP2C,359,213,313,577,565,483
OR52A5,0,0,0,0,0,0
SCG2,32,9,54,32,154,131
ATPAF2,202,107,197,500,507,419
CYP4F22,0,0,0,0,0,0
FOXB1,0,0,0,1,1,0
PPIH,455,233,418,707,575,450
DRC3,90,33,52,157,22,18
ZNF57,86,47,98,127,171,143
C20orf196,98,45,95,144,150,97
C11orf40,0,0,0,0,0,0
JMJD1C,4501,2193,3561,3052,2555,3331
LDHAL6B,4,0,0,2,1,0
SYNPO,5,3,17,727,567,329
OR52P2P,0,0,0,0,0,0
ZNF556,0,3,1,2,1,0
MAL,3,2,0,8,6,0
ZNF554,192,129,202,430,331,295
RAB33B,435,195,342,332,352,302
THOP1,213,132,210,3616,2076,2050
ANKRD20A4,45,20,11,51,69,45
REG3A,0,0,0,0,0,0
GAP43,5727,4754,11484,329,6117,8167
REG1B,0,0,0,0,0,0
EPHX4,33,7,26,50,28,29
LAMB2,824,363,619,900,389,162
USP19,927,497,840,2483,2187,2015
QARS,4038,1997,3673,7896,6892,5894
ORMDL3,851,489,896,1323,1342,1292
SERF1A,7,4,9,1,2,2
KLF11,1013,481,708,1182,2142,2889
LRRC15,0,0,0,5,19,0
SMN1,295,134,166,163,150,120
EIF2AK3,811,423,782,591,1444,1078
TEX37,5,3,4,0,0,0
MOB3A,397,189,410,882,580,575
KRCC1,710,356,517,554,120,154
NME6,402,174,409,273,288,223
CYCS,3291,2102,3689,2968,3548,3364
CD8B,0,0,0,3,0,1
SLFN12,13,12,21,60,18,17
CALB2,487,356,1056,9,0,0
SLC9C1,0,4,4,0,1,1
OR1A1,0,0,0,0,2,0
OR7A2P,0,0,0,0,0,0
