GeneID,logFC,AveExpr,t,P.Value,adj.P.Val,B
C9orf131,1.08798520803558,1.12908377142874,2.22554123595739,0.0562699727403535,0.737095552217354,-3.84948235239384
MS4A4A,2.57956345359162,-3.40289679455393,2.22529100262822,0.0562920567124987,0.737095552217354,-3.81766817750242
SPTAN1,0.714834282429611,1.66764995667452,2.22342356289984,0.0564571358906758,0.737095552217354,-3.88538711935901
LRRC4B,2.28435785282961,-3.26853642642191,2.22100574737111,0.0566715792414483,0.737095552217354,-3.81355604275189
HLX,1.22826102373106,-1.21710773871008,2.22029870484641,0.0567344411024613,0.737095552217354,-3.7602102132371
PLET1,1.42908750203847,-1.48879638878394,2.21989733929271,0.0567701564652499,0.737095552217354,-3.75986916336733
C3orf20,1.0141985226093,-0.520704188220171,2.21815944201161,0.0569250593736883,0.737095552217354,-3.77711890460014
FRG1JP,1.33738624821,-1.72530959465278,2.21747004744891,0.0569866224754278,0.737095552217354,-3.76391653287527
PIP5K1P1,1.74341406097066,-1.49907218204839,2.2143834919875,0.0572630607930967,0.737095552217354,-3.76591702352724
CP,1.8168795052664,-2.77518099027433,2.21279815579129,0.0574055617057439,0.737095552217354,-3.79662080003781
LOC100131347,1.44299781520418,-0.980538038532554,2.21161177773605,0.0575124307685082,0.737095552217354,-3.77309072815096
GSTM1,5.93441593019641,-0.948462974443107,2.21153507211792,0.057519347182614,0.737095552217354,-3.77376048820413
PCSK9,1.43978465443498,-1.98111195586282,2.20807090006269,0.0578325639097225,0.737095552217354,-3.77732473234271
UGT2B28,2.25719096894914,-3.09681324993441,2.20778326861273,0.057858646053213,0.737095552217354,-3.81613389748237
MUC6,2.4166076760032,-1.25002882643511,2.2067955833877,0.0579482968980499,0.737095552217354,-3.77510874484029
ARHGEF10L,1.52965078096783,-2.50943278943654,2.2062114810273,0.0580013796352433,0.737095552217354,-3.79280078798617
DCTN1-AS1,1.68269600563721,-2.66260499745672,2.20583453544162,0.0580356616351394,0.737095552217354,-3.7986733251723
ITPK1-AS1,2.07221408320634,-0.767541225971511,2.20486707971995,0.0581237402823742,0.737095552217354,-3.78556144603063
CYP4A22,1.28217501147671,-0.287392216832054,2.20484842446618,0.0581254399820578,0.737095552217354,-3.80197534020429
EPB41L5,1.06157461536058,0.271798655148446,2.20352851934181,0.0582458226081691,0.737095552217354,-3.83050758762592
APOBR,1.14685397951857,-0.698341229199942,2.20348569981822,0.0582497321057014,0.737095552217354,-3.7890731803239
VIPR1,1.52376882664002,-2.43028440550052,2.20303825996999,0.0582905996528981,0.737095552217354,-3.79333839841361
PPFIA4,1.49490854915945,-0.215131361859404,2.20229492002699,0.058358556252891,0.737095552217354,-3.8081930674212
UMODL1,2.38657099437374,-3.21072563526454,2.20191812871708,0.058393032620793,0.737095552217354,-3.82722401099009
CACNB2,1.04869234207283,2.80032820950935,2.20099365307651,0.0584777072788182,0.737095552217354,-3.99944437094405
SIGLEC17P,1.40785904560402,-2.33384121139041,2.19923970922692,0.0586386879740866,0.737095552217354,-3.79426514311919
PGBD5,2.22292411307148,-3.51674961853288,2.19892869084292,0.0586672795346769,0.737095552217354,-3.84693325933537
LINC00854,1.41833517590613,-1.62451909210983,2.19869359403905,0.058688900844451,0.737095552217354,-3.78332899497273
PGLYRP4,1.53023455598853,-2.1926787265298,2.19718309636116,0.0588280055576553,0.737095552217354,-3.79275526242363
ARMC2,0.790650217151188,0.597601631301339,2.19679621018972,0.0588636869875771,0.737095552217354,-3.85688785467873
CD9,1.00062038547688,-0.915712766637704,2.1956588495345,0.0589687063180678,0.737095552217354,-3.79276137237822
CLEC12A,1.07722153276161,-1.20207680088444,2.19562137185934,0.0589721700015846,0.737095552217354,-3.78812157575944
KCNQ1,1.41831852163956,-2.33418233458787,2.19470299110372,0.0590571094374469,0.737095552217354,-3.79878295812092
ENPP2,0.990112769648203,-0.402978061161061,2.19421884328074,0.0591019360098126,0.737095552217354,-3.81019437046257
S1PR2,1.09991708246867,-1.32652333870603,2.19241290710183,0.0592694414847834,0.737095552217354,-3.79058785259899
MERTK,1.29308456478065,-0.411827803619388,2.19165116106276,0.0593402358563585,0.737095552217354,-3.81294958076843
NEB,1.01203970162617,3.12617663406714,2.19141418514246,0.0593622766882025,0.737095552217354,-4.04107844909203
C1orf228,1.54293973945898,-2.12311830115895,2.18627769643596,0.0598420041877272,0.737095552217354,-3.80234899397131
HLA-DQB2,1.6729933011111,-2.87382247132539,2.18408801431317,0.0600476720375542,0.737095552217354,-3.82753132851558
DCBLD2,0.520775726571692,4.05040409500998,2.18157167210515,0.0602848822607508,0.737095552217354,-4.14375292315876
ABI2,0.625207805415673,5.18897630593418,2.18094045755986,0.0603445302545114,0.737095552217354,-4.24471467892395
USPL1,0.480799133507074,4.81421575168095,2.17886562885725,0.0605410057654598,0.737095552217354,-4.21871201538985
ATXN1,0.79283168950428,3.00814758554151,2.17601779425829,0.0608117074777028,0.737095552217354,-4.0520921127656
STARD4,0.745428127227632,6.81963176247225,2.17553984428438,0.0608572558418372,0.737095552217354,-4.30148236181445
SORT1,0.732396825921407,0.95220446042651,2.17508007755372,0.0609011030610454,0.737095552217354,-3.90540716202093
ESYT3,2.49555955242501,-2.78321245586611,2.17472331724451,0.0609351481596818,0.737095552217354,-3.83268912781845
GPR68,1.69258576267132,-1.90811952107284,2.17409389001074,0.0609952591637675,0.737095552217354,-3.81163788968293
DNAH12,1.42462609386034,-1.16792943306813,2.17347849622979,0.0610540864137653,0.737095552217354,-3.81352772643757
LILRA2,1.72440516278066,-2.96107252546043,2.17236998223507,0.0611601934253232,0.737095552217354,-3.84199391158997
PALLD,1.28783746585712,1.93091520819503,2.17178067265216,0.0612166760669879,0.737095552217354,-3.97296504717753
SDS,1.18466194294787,-1.03737301725564,2.1711148953505,0.0612805495791515,0.737095552217354,-3.81846974331019
SLC26A4,1.21410160159282,-0.598276905102437,2.17065578487591,0.0613246340555409,0.737095552217354,-3.83114008372045
DOCK7,0.47236439814889,6.39179709937416,2.16683967910026,0.0616922724242843,0.737095552217354,-4.31662442397535
DACH1,1.09494769472291,-1.17425979265507,2.16634895875241,0.0617397048683076,0.737095552217354,-3.82147748218233
GFI1,1.16724267717698,-0.295696104788467,2.16623210365003,0.0617510052325975,0.737095552217354,-3.84865319621501
CD300C,1.52032885866177,-1.12215180206026,2.16594342573865,0.0617789302875213,0.737095552217354,-3.82278509318245
TRIB1,0.986349905193823,-0.516852271725909,2.16442082836793,0.0619264234073527,0.737095552217354,-3.84158018934892
C1QC,1.55935160798141,-0.87160057232922,2.16441711615715,0.0619267834300875,0.737095552217354,-3.83001665557859
DENND3,0.8065276193873,1.8724678723494,2.1612421395041,0.0622354585824596,0.737095552217354,-3.98307637594909
SPAG1,1.06567205620243,1.18737653952693,2.16092504518149,0.0622663698807511,0.737095552217354,-3.93822457730791
MSR1,1.34431011516099,-1.37072628486212,2.16090613916595,0.0622682133723363,0.737095552217354,-3.82517997283747
KIZ-AS1,1.37381739822827,-1.17176023103115,2.16022081530228,0.0623350743217797,0.737095552217354,-3.82842927287035
LOC340512,1.28973177906593,-1.41631529607822,2.15952807426564,0.0624027306524389,0.737095552217354,-3.82632883523596
LMLN,0.685787189195325,2.9251666523261,2.15948021749304,0.0624074072345135,0.737095552217354,-4.06787124584994
ECM2,1.52485869127059,3.74472540332353,2.15861985665153,0.0624915408399774,0.737095552217354,-4.14619790106511
LOC101929754,1.60760989211992,-2.79334508580832,2.15836115704744,0.0625168605519331,0.737095552217354,-3.84841187724764
ADAM12,1.01958045290774,-0.41892482145387,2.15771530392185,0.0625801161832488,0.737095552217354,-3.85358971281993
C12orf75,1.18142763102644,-0.669378524622074,2.15635165873091,0.0627138799973462,0.737095552217354,-3.8456085404605
MIR6818,1.54226315282453,-2.78074075643207,2.15550929021988,0.0627966507123946,0.737095552217354,-3.85063850426057
LHFPL4,1.9500849855246,-1.828598933833,2.15487133763714,0.0628594070683902,0.737095552217354,-3.8311215877624
RTKN2,1.37912162428552,-1.8758193836557,2.15284252867531,0.0630593940731407,0.737095552217354,-3.83357664819406
CD1E,1.80729413841261,-2.35281103321078,2.15142781063086,0.0631992178213442,0.737095552217354,-3.84220169151312
CYP27A1,1.53641571555777,-1.99377009806837,2.151395709851,0.0632023940361828,0.737095552217354,-3.83618691072943
RASIP1,1.10304544934391,-1.10224129054877,2.15132281682752,0.0632096070260739,0.737095552217354,-3.83973736052052
ZNF112,2.16093582668801,-3.3817447758069,2.15087716378804,0.0632537233636346,0.737095552217354,-3.880619265078
EPX,1.3696760721848,-0.168640672891539,2.15047527515204,0.0632935332921173,0.737095552217354,-3.87391120434659
C5orf17,2.63464252970413,-3.42598829967829,2.14860631785575,0.0634789904541802,0.737095552217354,-3.88480842173942
KCNQ3,2.24525389369573,-2.0242596514032,2.14847133718099,0.0634924052752618,0.737095552217354,-3.83955648430953
RYR3,1.55847466694967,1.71120708426187,2.1473676454332,0.0636021982954255,0.737095552217354,-3.99050685380923
TUG1,0.435374734849661,7.27232032799857,2.14709386027789,0.0636294627426454,0.737095552217354,-4.32875105534856
LOC101930452,0.935265601822691,1.03646568232969,2.14705493523023,0.0636333399618155,0.737095552217354,-3.947099201573
LINC00910,0.950293250883434,-0.541072346660682,2.14579576880684,0.063758887370302,0.737095552217354,-3.86287552150072
CCDC15,1.26294070542148,5.0780528568596,2.14549517505206,0.0637888945499943,0.737095552217354,-4.2880983231843
TFCP2,0.514602405440123,4.52843191878152,2.14546806930061,0.0637916011000097,0.737095552217354,-4.24157060338284
RBMS2,0.918249935922828,0.077766276183814,2.13927662490889,0.0644127895092644,0.737095552217354,-3.90072610657277
SPINT1,1.85189937347653,-2.42279900185459,2.1382498680469,0.0645163765300173,0.737095552217354,-3.85679460535725
GNB5,0.821238366160152,-0.0703743362979907,2.13615180569005,0.0647285535112338,0.737095552217354,-3.89659681257207
ATF7IP2,0.827965299041435,3.48206974823321,2.13592986138706,0.0647510387346781,0.737095552217354,-4.15243397388328
DNAH3,1.46764451396887,-1.42007686919069,2.13356186136248,0.0649914188208414,0.737095552217354,-3.85486673286807
UNC5B,1.12816585781773,-0.611399364158519,2.13301206958839,0.0650473542904657,0.737095552217354,-3.87531942472521
PSD,1.60556278894914,-1.63960009246798,2.13210397375811,0.0651398468044327,0.737095552217354,-3.85503167366983
NLRC4,1.04721983182858,-0.329940658160355,2.13196584323487,0.0651539271445917,0.737095552217354,-3.88867110399138
ZFC3H1,0.711174829195531,6.01731051161968,2.13074338140369,0.0652786689972761,0.737095552217354,-4.36172193704926
FLJ45513,0.92510557825367,0.239821353484821,2.12870912163453,0.065486767202061,0.737095552217354,-3.92314487179725
RNF144A-AS1,0.822512027211675,3.14724636628177,2.12839178733192,0.0655192880639463,0.737095552217354,-4.13116353250619
CROCCP2,0.528931615659473,5.91011229097977,2.12754084544985,0.0656065719412759,0.737095552217354,-4.3625001629671
LOC100132077,1.13011279816381,0.0324771882067386,2.12684452616322,0.0656780804622084,0.737095552217354,-3.91368011909853
