GeneID,logFC,AveExpr,t,P.Value,adj.P.Val,B
ANOS1,-2.93288151898489,5.27367727034002,-4.38191443950782,0.00320702897433578,0.00686821237858838,-2.3267120899339
GTF2I,-0.861459407074631,7.25031063805891,-4.38241798489377,0.0032050627876921,0.00686566355513607,-2.53555715846553
ZNF671,-1.1068268503276,4.27641468215324,-4.3828911811965,0.00320321631342158,0.00686253898167835,-2.14928798092806
LSM6,-0.767658010357623,4.32918452890416,-4.38291667694701,0.00320311685888178,0.00686253898167835,-2.15925227205025
INO80,-0.644830662505133,5.28341432117752,-4.38468770962197,0.00319621667264494,0.00685086103037911,-2.32449607238094
TMSB4XP6,-1.53851647106896,0.937497515017692,-4.38625880802745,0.00319010914593794,0.00684025584442872,-1.70147327894993
MSN,-5.20621599024549,4.99471906648464,-4.38697513932325,0.00318732872514144,0.00683512234427979,-2.27543713956716
AP3S1,-0.590100891085109,5.84580293488021,-4.38766193585327,0.00318466544639374,0.00683106684549532,-2.39513372340908
MITF,-2.89702018002404,0.797914135383704,-4.38960675093135,0.00317713706359796,0.00681822476692569,-1.6807920786197
TMEM267,-1.23978706492057,3.04550589008014,-4.39033232596301,0.00317433337895995,0.00681468755245296,-1.93011461375723
MYEF2,-0.656791095962099,8.39302841328077,-4.39053857931632,0.0031735368952015,0.00681463128928342,-2.61566511327716
RAP1B,-1.08438531719152,5.61926355728503,-4.39135525485586,0.00317038531693799,0.00680869010776804,-2.36246374728918
SP3,-0.533652759566146,7.59230665644567,-4.39400686334523,0.00316017639192802,0.00678841338822076,-2.54872179478022
STXBP5,-0.988597564048381,5.63708339330807,-4.3941026247185,0.00315980837969,0.00678841338822076,-2.36113103892291
PEG13,-3.13065721999209,-0.345915370497341,-4.39546120601073,0.00315459241119379,0.00677888731159374,-1.52106434005602
SIX3,-1.70800684564935,6.73049516594346,-4.39609824479447,0.003152149907208,0.00677446136986983,-2.47141637746089
KRT10,-0.928644778497771,3.60389062869955,-4.39850840964599,0.00314292778164406,0.0067571037871701,-2.00671859776299
HERC1,-0.782300225263683,7.56811829715554,-4.40170997928242,0.00313072335533268,0.00673331944199057,-2.53650698204609
FLRT2,-1.61841025772037,6.58544062888073,-4.40223015606075,0.0031287453645898,0.00673142120824785,-2.45011234801835
SEC63,-0.608262857710508,7.15117724417456,-4.40403360847859,0.00312189831573951,0.00672005703147139,-2.49824418414059
AP000866.6,-2.11596110930682,0.46230573662712,-4.40424574523764,0.00312109399475144,0.0067191431005149,-1.6194412218662
PIAS1,-0.714565867521554,7.02449607046851,-4.40503657837455,0.00311809754363149,0.0067143261454321,-2.48579024867049
APCDD1L,-4.80225222324033,-1.06650080841619,-4.40520697608044,0.00311745232479189,0.0067143261454321,-1.42532869474938
ASTN1,-1.7448876541742,5.88838425391791,-4.40652904468379,0.00311245124078746,0.00670486717313474,-2.37489543604481
RND1,-1.22436765125724,1.07742225405405,-4.40675857966026,0.00311158386230461,0.0067043795493933,-1.69057885177338
SERINC5,-1.54165313048089,3.85300803382906,-4.40707386977378,0.00311039286162642,0.00670344595537369,-2.0389309181706
NBPF26,-0.850860860777695,3.72706131691965,-4.40779845173769,0.00310765767216577,0.00669836701806567,-2.01569797176977
ZNF480,-0.884950577539036,5.07494148795861,-4.41050576260725,0.00309746137637185,0.00667801652169167,-2.25761969216977
ZNF627,-0.944625879089174,5.62373105740459,-4.41117114511892,0.00309496104849678,0.00667506591810118,-2.33677077180873
IGF1R,-0.88851939982283,7.73281044089934,-4.41130576456772,0.00309445545520296,0.00667478908013669,-2.53701245327127
