gene_symbol,logFC,AveExpr,t,P.Value,adj.P.Val,B
PEBP4,1.94156521759742,-0.235252166160361,12.3639404402411,6.5298307549225e-06,2.0126435433123e-05,4.36867539385678
MTHFD1,0.74403852131292,6.10919449847687,12.3620260198429,6.53645332734209e-06,2.01439468056303e-05,3.47812464656783
RSPH14,1.79731628695674,-0.0117957623687007,12.3616987539706,6.53758620826822e-06,2.01445375202368e-05,4.31805049408902
RP11-5A11.2,5.26105348590872,-2.12631705843422,12.3567682560512,6.55468102937726e-06,2.01930661892389e-05,4.63870245084077
ZNF780A,0.607221937893611,6.21515552539798,12.3566123688355,6.55522234653233e-06,2.01930661892389e-05,3.4770122801956
NOD2,1.14872983121512,1.791613860568,12.3536445660658,6.56553775669046e-06,2.02197635780204e-05,4.00561839624552
RP4-673D20.3,1.01003881840533,0.810952213576602,12.3535753713366,6.56577848279409e-06,2.02197635780204e-05,4.13923198560352
DUX4L26,2.48980188537852,1.31875550542728,12.3510752883903,6.57448294674147e-06,2.02436568132798e-05,4.06199837129768
UGT8,2.01093284467532,3.54723468242469,12.3451726381742,6.59508632963207e-06,2.02983365995276e-05,3.73780343240612
CNOT6,0.60064191101775,5.74297718471443,12.3366702009383,6.62489400027108e-06,2.03842159700693e-05,3.46202281741746
ANKRD20A4,2.83228504675766,2.29172435264417,12.3363141861528,6.62614545922904e-06,2.03851360160815e-05,3.93342800550868
RP11-44F14.1,1.14039016332382,1.79821368368331,12.3299212308429,6.64866388401479e-06,2.04455967111449e-05,3.99068634497233
TMPRSS7,2.41428423483946,-1.5986156121895,12.3224989787499,6.67491752098737e-06,2.05204337405476e-05,4.57082178174631
DUSP18,1.05481293534187,3.55585884025866,12.3216642316329,6.67787754281363e-06,2.05236377152269e-05,3.72204400291487
BEND7,1.09041632340615,4.09390819905598,12.3210728784522,6.67997539375883e-06,2.05271375954947e-05,3.6179127710664
CATSPERG,0.862009145923301,3.07963730980596,12.3186933506268,6.68842447695274e-06,2.05472009588373e-05,3.80707584682932
ZBED4,0.483616953355433,5.43377010241688,12.3157155548172,6.69901504002516e-06,2.05738296601605e-05,3.45543024745577
ODF2L,0.667608127322057,6.47056127409166,12.3118040866685,6.71295531014293e-06,2.06136847206584e-05,3.45966058852353
ARL13B,0.641224384279424,4.26385289287104,12.3105468892064,6.71744292489848e-06,2.06245059419885e-05,3.58026296565771
CCDC150,1.24774033217277,3.09334644750078,12.3097118895876,6.72042538024549e-06,2.06277447889566e-05,3.79933934703693
PCDHAC2,1.27978778286124,4.20966858995443,12.3079867329062,6.72659209011496e-06,2.06437124325682e-05,3.58850025603057
IQCG,0.731243788226312,3.87328721884599,12.3008805605948,6.75206184529044e-06,2.07099823404676e-05,3.64799781812946
CAMK2N1,1.00545385228793,3.37973285926389,12.3006127921058,6.75302372350248e-06,2.07099823404676e-05,3.74272840529914
GUCY1A3,0.646191873368225,6.23409954577853,12.2903618446768,6.78996503820179e-06,2.08083650791284e-05,3.43760873266716
AKAP9,0.617897701494019,8.92554449825444,12.2859769001792,6.80583743463933e-06,2.08480518983234e-05,3.66952267935087
C4ORF36,0.905615443463613,4.01944856128381,12.2824009260722,6.81881291156545e-06,2.08848100667194e-05,3.60870799252128
DBNDD2,0.7866568818598,3.57780819168586,12.2817063802701,6.82133635443016e-06,2.0887607877463e-05,3.69379133540088
SMAD2,0.547869710560417,8.06404867423389,12.2815939584261,6.82174490875965e-06,2.0887607877463e-05,3.58061831322454
RPL30P14,4.7730703225581,-0.543022097569876,12.280442747878,6.82593015201779e-06,2.08946486046391e-05,4.38312430740866
IGSF6,0.893895830127484,3.12008147922917,12.2749326296405,6.84600289070192e-06,2.09501000671566e-05,3.77384280984733
YY1AP1,0.488101296516754,6.28788454650069,12.2718912805629,6.8571110286237e-06,2.09718995576619e-05,3.42802880073427
ACRV1,2.92014384058694,0.278679576557401,12.2717692065956,6.85755731731755e-06,2.09718995576619e-05,4.19878263646185
TREM1,1.64779818403513,1.67566935333087,12.2691007936655,6.86732102102193e-06,2.09856553437146e-05,3.96915756678729
MEI4,2.05443693173709,0.205593137092347,12.2690719817166,6.86742653027037e-06,2.09856553437146e-05,4.21381892890276
PRSS16,1.22959788185564,1.6041257200026,12.2557771293713,6.91631019473952e-06,2.11169453777475e-05,3.96986416264965
RMI1,1.58368316795174,3.49756901573635,12.2549955604489,6.91919626997447e-06,2.1122743940417e-05,3.69302122131727
DNASE1L2,1.77788966132539,2.24224628987852,12.2526038672232,6.92803654228126e-06,2.11467150762187e-05,3.88961431310635
LIN54,0.793573569895346,5.15134976613409,12.245464573075,6.9545018447043e-06,2.12153938116029e-05,3.42624360282616
SP5,1.13904492380102,3.02967860630597,12.2450808621297,6.95592752155583e-06,2.12167189317172e-05,3.7711671045301
LRRC8A,0.614218228134126,5.60895913204418,12.2427844908141,6.96446665603001e-06,2.12397377941024e-05,3.40707495223805
FAM92B,1.81349405391274,1.55894851337654,12.2408954606754,6.97150004683672e-06,2.12581586411805e-05,3.96642036313598
MYO1G,1.16466248847381,2.78971996778184,12.2362005856024,6.98901552141316e-06,2.13024635723164e-05,3.8038479484353
SLC39A5,2.11287076514706,1.00808078635282,12.2300728842785,7.01195213022218e-06,2.13693309758145e-05,4.03351835844405
RP3-337H4.6,3.3842075754399,-0.200046798532618,12.2286060622386,7.01745532832574e-06,2.13830575729151e-05,4.28185125048664
IGLV1-44,3.80585900487215,-1.14988061670012,12.2227519335572,7.03946789145953e-06,2.14409749937254e-05,4.45456747182357
TFDP1,0.56094068453797,6.1477662795981,12.2221847239733,7.04160488404715e-06,2.14444321760474e-05,3.39425606771341
FAM3B,1.52265799463886,1.9583482469137,12.2206848013185,7.04725949129409e-06,2.14585993586808e-05,3.90576534240122
RDH8,3.93930298319335,-0.252448654756366,12.2191031527266,7.05322781335921e-06,2.14737176229484e-05,4.28761652344261
ADORA3,1.5164450265755,1.33389845691792,12.2156725432508,7.06619298934909e-06,2.15040137282865e-05,3.97918856820535
