"GeneID"	"AA.043_Thalassimia_D08.N3"	"AA.043_Thalassimia_D10.N1"	"AA.043_Thalassimia_D08.N1"	"AA.043_Thalassimia_D10.N3"	"AA.043_Thalassimia_D10.H4"	"AA.043_Thalassimia_D08.H4"
"FHAD1"	2	1	1	0	9	1
"EFHD2"	794	1383	2373	735	472	822
"CTRC"	2	0	2	0	3	0
"CELA2A"	1	0	6	0	5	3
"CELA2B"	6	9	19	7	5	4
"CASP9"	265	436	693	309	286	308
"DNAJC16"	1152	1770	1982	1224	1163	1214
"AGMAT"	91	69	211	40	28	101
"DDI2"	2982	5274	4432	3288	3104	3210
"RSC1A1"	1628	2332	2400	1914	1779	1917
"PLEKHM2"	2396	6092	7143	3431	2453	2753
"SLC25A34"	19	86	108	41	45	42
"TMEM82"	0	0	1	0	4	0
"FBLIM1"	1	3	3	0	8	1
"UQCRHL"	132	250	363	230	115	148
"FLJ37453"	190	338	387	241	153	181
"SPEN"	8753	8124	13731	4503	6410	8615
"MIR5096"	52	43	49	23	33	53
"ZBTB17"	784	1432	1745	796	574	850
"C1orf64"	0	0	0	0	0	1
"HSPB7"	1	1	1	0	5	0
"CLCNKA"	0	0	1	0	0	0
"CLCNKB"	2	0	5	0	4	2
"FAM131C"	0	5	7	0	13	0
"EPHA2"	1	0	3	0	6	2
"ARHGEF19"	133	159	242	116	65	189
"RSG1"	100	312	298	129	70	144
"FBXO42"	1979	4078	3779	2569	1981	2142
"SZRD1"	2135	3633	5506	2584	1493	2310
"SPATA21"	21	42	43	5	13	15
"NECAP2"	2291	3648	5051	3016	1517	2654
"CROCCP3"	176	204	227	127	186	267
"RNU1-1"	0	0	0	0	0	0
"RNU1-2"	0	0	0	0	0	0
"RNU1-3"	0	0	0	0	0	0
"RNU1-28P"	0	0	0	0	0	0
"RNVU1-18"	0	0	0	0	0	0
"RNU1-27P"	0	0	0	0	0	0
"RNU1-4"	0	0	0	0	0	0
"FAM231B"	0	0	1	0	3	0
"MIR3675"	0	0	0	0	6	0
"NBPF1"	37	46	75	28	46	88
"CROCCP2"	1928	3106	2879	2161	2947	2631
"MST1P2"	47	89	52	45	64	45
"FAM231A"	0	0	0	0	0	0
"FAM231C"	0	0	0	0	0	0
"ESPNP"	1	0	1	1	10	0
"MST1L"	19	13	10	9	19	10
"CROCC"	86	153	197	59	137	143
"MFAP2"	1	0	0	0	8	2
"ATP13A2"	347	512	1200	272	195	405
"SDHB"	2363	4307	5647	3791	2037	2487
"PADI2"	15	26	32	17	37	23
"PADI1"	0	0	1	0	13	0
"PADI3"	0	0	3	0	3	0
"MIR3972"	0	0	0	0	0	0
"PADI4"	6	18	24	9	3	8
"PADI6"	2	2	5	1	4	2
"RCC2"	9627	15034	24733	8456	4362	10242
"ARHGEF10L"	2	7	8	6	16	10
"ACTL8"	0	1	10	0	5	0
"LOC101927876"	0	1	0	0	4	0
"IGSF21"	0	0	0	0	4	0
"KLHDC7A"	0	0	2	0	8	0
"PAX7"	1	0	2	0	18	0
"TAS1R2"	0	0	0	0	3	0
"ALDH4A1"	575	1112	2270	541	395	844
"MIR4695"	1	0	1	0	0	0
"MIR1290"	5	3	4	1	2	1
"IFFO2"	185	163	764	78	72	249
"UBR4"	26736	36547	41718	20713	26297	28104
"EMC1"	2828	3529	6706	1927	1576	3537
"MRTO4"	2141	2290	6281	1572	618	2203
"AKR7L"	18	6	36	3	11	21
"AKR7A3"	13	17	22	3	5	10
"LOC100506730"	65	31	102	21	29	63
"AKR7A2"	801	1214	2127	724	433	884
"PQLC2"	396	960	1310	425	335	434
"CAPZB"	1096	1736	2749	1069	978	1263
"MINOS1-NBL1"	0	0	0	0	0	0
"MINOS1"	777	874	2026	612	428	856
"RPS14P3"	107	45	126	21	51	99
"NBL1"	0	2	14	1	9	2
"HTR6"	0	4	7	0	7	1
"TMCO4"	223	369	661	150	91	189
"RNF186"	0	0	0	0	0	0
"OTUD3"	1829	1893	2712	877	1337	1917
"PLA2G2E"	0	1	1	0	0	1
"PLA2G2A"	0	0	1	1	2	0
"PLA2G5"	0	0	1	0	4	0
"PLA2G2D"	0	0	0	0	6	0
"PLA2G2F"	0	0	0	0	3	0
"PLA2G2C"	0	0	0	0	0	1
"UBXN10-AS1"	13	39	50	9	11	26
"UBXN10"	653	1234	1577	532	995	1049
"VWA5B1"	0	0	1	0	11	0
"LINC01141"	0	1	0	0	8	0
"CAMK2N1"	0	1	2	1	13	1
"MUL1"	693	1798	2081	1141	714	826
"FAM43B"	0	0	2	0	6	0
"CDA"	0	0	2	0	2	0
"PINK1"	280	1961	763	1341	638	262
"MIR6084"	0	0	0	0	0	0
"PINK1-AS"	190	284	383	164	135	196
"DDOST"	3953	6645	10786	4909	2299	4318
"KIF17"	1	2	3	0	7	5
"SH2D5"	0	10	7	2	10	4
"HP1BP3"	12100	20723	20241	16124	13160	12990
"EIF4G3"	1667	1271	1972	1017	741	1574
"MIR1256"	3	5	3	2	1	4
"ECE1"	2374	5028	7688	2200	1845	2838
"LOC100506801"	138	68	78	15	49	100
"NBPF3"	97	945	1977	52	147	365
"ALPL"	10	34	26	15	9	25
"RAP1GAP"	2861	18191	5974	9826	2915	1624
"USP48"	7382	9820	11817	6879	5963	8171
"LDLRAD2"	8	7	4	7	14	21
"HSPG2"	1078	2038	2394	668	721	2226
"CELA3B"	0	0	0	0	1	0
"CELA3A"	0	0	2	0	1	0
"LOC101928043"	9	8	26	10	7	11
"LINC00339"	264	518	604	383	221	267
"CDC42"	7883	16839	16972	14934	9115	8846
"WNT4"	14	45	31	6	20	24
"MIR4418"	0	0	0	0	1	0
"ZBTB40"	2171	2682	3167	1341	1753	2667
"EPHA8"	0	0	2	0	9	1
"MIR6127"	0	0	0	0	0	0
"C1QA"	4	28	5	14	25	31
"C1QC"	5	45	25	14	43	40
"C1QB"	3	12	2	3	14	4
"EPHB2"	1	7	8	2	25	7
"MIR4684"	0	0	0	0	0	0
"MIR4253"	0	0	0	0	0	0
"LACTBL1"	0	0	0	0	12	0
"C1orf234"	0	2	1	0	2	0
"KDM1A"	6912	8272	14430	6142	4022	7597
"MIR3115"	6	3	7	3	4	5
"MIR4419A"	22	9	10	4	11	31
"LUZP1"	1003	935	2038	471	492	1170
"HTR1D"	0	0	2	0	3	1
"LINC01355"	166	161	326	56	131	154
"HNRNPR"	10428	13246	19982	10088	9315	11908
"ZNF436"	380	464	969	292	246	510
"ZNF436-AS1"	64	68	121	44	61	95
"TCEA3"	5	5	5	0	11	4
"ASAP3"	4	49	10	28	33	3
"E2F2"	15287	54184	34081	30672	24456	16068
"LOC101928163"	739	1541	785	580	581	702
"ID3"	5	4	8	0	8	7
"MDS2"	2	0	1	0	5	0
"RPL11"	20652	35284	53297	26598	12449	22807
"TCEB3"	2177	2803	3883	2253	1543	2191
"TCEB3-AS1"	54	103	142	79	41	55
"PITHD1"	5443	15848	12567	17995	5819	5958
"LYPLA2"	508	1056	1483	627	394	619
"GALE"	283	423	802	247	138	341
"HMGCL"	420	1146	927	897	522	533
"FUCA1"	413	1073	933	963	385	315
"CNR2"	11	29	26	11	18	10
"MIR378F"	0	0	0	0	0	0
"PNRC2"	6278	11587	11484	10781	8068	6200
"SRSF10"	11496	11870	15654	7912	8318	11305
"MYOM3"	1	0	6	2	13	1
"IL22RA1"	0	0	2	0	2	0
"IFNLR1"	1	5	1	0	11	0
"LOC284632"	0	0	2	0	1	0
"GRHL3"	14	28	83	7	15	9
"STPG1"	72	224	214	129	139	133
"NIPAL3"	1228	2174	2405	1417	1021	1300
"RCAN3AS"	1	1	0	0	2	1
"RCAN3"	21	18	50	6	19	31
"LOC100506985"	6	1	3	0	6	5
"NCMAP"	6	0	8	3	10	2
"SRRM1"	3912	3451	6575	2192	2709	3902
"CLIC4"	6626	16877	11599	12264	7825	4892
"RUNX3"	78	80	279	51	141	203
"MIR6731"	0	0	1	0	1	1
"MIR4425"	0	0	0	0	0	0
"SYF2"	2064	4368	4180	3383	2397	2364
"RSRP1"	5382	10345	6070	8330	6043	6021
"RHD"	7652	28317	10506	23041	13045	7744
"TMEM50A"	2483	5120	5949	3873	3060	2939
"RHCE"	4250	16080	5834	14882	9983	5322
"TMEM57"	10953	21763	17900	14657	12672	9907
"LDLRAP1"	649	885	1746	570	376	745
"MAN1C1"	4	6	10	4	16	7
"SEPN1"	245	184	773	81	82	292
"MTFR1L"	845	1023	1413	821	537	1031
"LOC646471"	77	154	157	59	62	132
"AUNIP"	2534	2941	4597	2336	1336	2710
"PAQR7"	69	54	171	11	24	79
"STMN1"	10369	10854	23041	10087	6218	12642
"MIR3917"	2	0	0	0	1	1
"PAFAH2"	110	151	155	141	94	154
"EXTL1"	0	1	6	2	4	1
"SLC30A2"	1	0	10	2	3	8
"TRIM63"	0	3	5	0	2	3
"PDIK1L"	2596	3934	5115	3000	2740	2955
"FAM110D"	42	79	169	32	11	49
"ZNF593"	239	337	897	238	97	290
