molecule_chembl_id,stdInChiKey,formula,STATUS,pIC50,MW,LogP,nHAcc,nHDon,smiles,preferredCompoundName
CHEMBL3545311,-,-,inactive,6.707743928643524,584.105,5.090000000000003,9,2,COc1cc(ccc1Nc2ncc(Cl)c(Nc3ccccc3P(=O)(C)C)n2)N4CCC(CC4)N5CCN(C)CC5,BRIGATINIB
CHEMBL3822557,-,-,inactive,6.568636235841013,571.062,5.174800000000004,9,2,COc1cc(ccc1Nc2ncc(Cl)c(Nc3ccccc3P(=O)(C)C)n2)N4CCC(CC4)N5CCOCC5,-
CHEMBL3824327,-,-,inactive,6.54515513999149,584.105,5.090000000000003,9,2,COc1cc(ccc1Nc2ncc(Cl)c(Nc3ccccc3P(=O)(C)C)n2)N4CCN(CC4)C5CCN(C)CC5,-
CHEMBL3823031,-,-,inactive,7.069050968832477,555.0630000000001,5.938400000000005,8,2,COc1cc(ccc1Nc2ncc(Cl)c(Nc3ccccc3P(=O)(C)C)n2)N4CCC(CC4)N5CCCC5,-
CHEMBL3823218,-,-,inactive,6.886056647693162,555.0630000000001,5.795900000000005,8,2,COc1cc(ccc1Nc2ncc(Cl)c(Nc3ccccc3P(=O)(C)C)n2)N4CCC(CN5CCC5)CC4,-
CHEMBL3397300,-,-,inactive,7.0,529.0250000000001,5.404200000000005,8,2,COc1cc(ccc1Nc2ncc(Cl)c(Nc3ccccc3P(=O)(C)C)n2)N4CCC(CC4)N(C)C,-
CHEMBL3823107,-,-,inactive,6.31069114087638,514.9980000000002,5.0141000000000036,8,2,COc1cc(ccc1Nc2ncc(Cl)c(Nc3ccccc3P(=O)(C)C)n2)N4CC[C@H](C4)N(C)C,-
CHEMBL3824130,-,-,inactive,6.4698003017969175,514.9980000000002,5.015700000000004,8,2,COc1cc(ccc1Nc2ncc(Cl)c(Nc3ccccc3P(=O)(C)C)n2)N4CCCN(C)CC4,-
CHEMBL3823872,-,-,inactive,6.338187314462738,558.023,3.7418000000000022,9,3,CNC(=O)CN1CCN(CC1)c2ccc(Nc3ncc(Cl)c(Nc4ccccc4P(=O)(C)C)n3)c(OC)c2,-
CHEMBL3823017,-,-,inactive,6.767003889607847,501.9550000000002,4.834900000000003,8,3,COc1cc(ccc1Nc2ncc(Cl)c(Nc3ccccc3P(=O)(C)C)n2)N4CCC(O)CC4,-
CHEMBL3824007,-,-,inactive,6.987162775294827,528.9810000000001,4.542300000000003,8,2,COc1cc(ccc1Nc2ncc(Cl)c(Nc3ccccc3P(=O)(C)C)n2)N4CCN(CC4)C(=O)C,-
CHEMBL3822611,-,-,inactive,7.042871802323187,500.9710000000002,4.625600000000003,8,2,COc1cc(ccc1Nc2ncc(Cl)c(Nc3ccccc3P(=O)(C)C)n2)N4CCN(C)CC4,-
CHEMBL3823416,-,-,inactive,6.399027104313253,487.92800000000017,4.710400000000003,8,2,COc1cc(ccc1Nc2ncc(Cl)c(Nc3ccccc3P(=O)(C)C)n2)N4CCOCC4,-
CHEMBL3823916,-,-,inactive,6.464705879957229,515.9820000000001,5.346800000000004,8,2,COc1cc(OC2CCN(C)CC2)ccc1Nc3ncc(Cl)c(Nc4ccccc4P(=O)(C)C)n3,-
CHEMBL3823603,-,-,inactive,6.401209493236885,501.9550000000002,4.956700000000003,8,2,COc1cc(OC2CCN(C)C2)ccc1Nc3ncc(Cl)c(Nc4ccccc4P(=O)(C)C)n3,-
CHEMBL3823549,-,-,inactive,6.546681659952962,530.0090000000001,5.738500000000005,8,2,COc1cc(OCCCN2CCCC2)ccc1Nc3ncc(Cl)c(Nc4ccccc4P(=O)(C)C)n3,-
CHEMBL3823165,-,-,inactive,6.139063379299906,478.85700000000014,5.121800000000004,7,2,COc1cc(ccc1Nc2ncc(Cl)c(Nc3ccccc3P(=O)(C)C)n2)P(=O)(C)C,-
CHEMBL3822982,-,-,inactive,7.2580609222708015,432.8480000000001,4.882400000000004,7,2,COc1ccccc1Nc2nc(Nc3ccc(cc3OC)P(=O)(C)C)ncc2Cl,-
CHEMBL2064666,-,-,inactive,6.179142010560301,539.0800000000003,3.5497000000000023,8,3,COc1c2CC[C@H](CCc2ccc1Nc3ncc(Cl)c(N[C@@H]4[C@@H]5C[C@@H](C=C5)[C@@H]4C(=O)N)n3)N6CCOCC6,-
CHEMBL3945332,-,-,inactive,6.002613615602686,539.0800000000003,3.5497000000000023,8,3,COc1c2CCC[C@@H](Cc2ccc1Nc3ncc(Cl)c(N[C@@H]4[C@@H]5C[C@@H](C=C5)[C@@H]4C(=O)N)n3)N6CCOCC6,-
CHEMBL3908493,-,-,inactive,6.987162775294827,539.0800000000003,3.5497000000000023,8,3,COc1c2CCC[C@H](Cc2ccc1Nc3ncc(Cl)c(N[C@@H]4[C@@H]5C[C@@H](C=C5)[C@@H]4C(=O)N)n3)N6CCOCC6,-
CHEMBL3936443,-,-,inactive,6.417936637088292,552.1230000000002,3.464900000000002,8,3,COc1c2CCC[C@@H](Cc2ccc1Nc3ncc(Cl)c(N[C@@H]4[C@@H]5C[C@@H](C=C5)[C@@H]4C(=O)N)n3)N6CCN(C)CC6,-
CHEMBL3980825,-,-,inactive,6.294136287716081,552.1230000000002,3.464900000000002,8,3,COc1c2CCC[C@H](Cc2ccc1Nc3ncc(Cl)c(N[C@@H]4[C@@H]5C[C@@H](C=C5)[C@@H]4C(=O)N)n3)N6CCN(C)CC6,-
CHEMBL3951972,-,-,inactive,5.8857227034384145,527.0690000000001,3.453500000000002,8,4,COCCNC1CCCc2c(C1)ccc(Nc3ncc(Cl)c(N[C@@H]4[C@@H]5C[C@@H](C=C5)[C@@H]4C(=O)N)n3)c2OC,-
CHEMBL3972807,-,-,inactive,6.394694953858892,582.1490000000002,2.827400000000001,9,4,COc1c2CCC[C@@H](Cc2ccc1Nc3ncc(Cl)c(N[C@@H]4[C@@H]5C[C@@H](C=C5)[C@@H]4C(=O)N)n3)N6CCN(CCO)CC6,-
CHEMBL3943236,-,-,inactive,6.361510743045362,582.1490000000002,2.827400000000001,9,4,COc1c2CCC[C@H](Cc2ccc1Nc3ncc(Cl)c(N[C@@H]4[C@@H]5C[C@@H](C=C5)[C@@H]4C(=O)N)n3)N6CCN(CCO)CC6,-
CHEMBL3961771,-,-,inactive,5.753747687700678,600.189,4.516400000000003,9,2,COc1c2CCCC(Cc2ccc1Nc3ncc(Cl)c(Nc4ccccc4N(C)S(=O)(=O)C)n3)N5CCN(C)CC5,-
CHEMBL3934268,-,-,inactive,6.133122185662503,630.2149999999999,3.8789000000000016,10,3,COc1c2CCCC(Cc2ccc1Nc3ncc(Cl)c(Nc4ccccc4N(C)S(=O)(=O)C)n3)N5CCN(CCO)CC5,-
CHEMBL3925372,-,-,inactive,6.838631997765025,642.2259999999999,4.023000000000002,10,3,COc1c2CCCC(Cc2ccc1Nc3ncc(Cl)c(Nc4ccccc4N5CCCS5(=O)=O)n3)N6CCN(CCO)CC6,-
CHEMBL3918616,-,-,inactive,7.1487416512809245,630.2149999999999,3.7334000000000023,10,3,COc1c2CCCC(Cc2ccc1Nc3ncc(Cl)c(Nc4ccccc4S(=O)(=O)N(C)C)n3)N5CCN(CCO)CC5,-
CHEMBL3890564,-,-,inactive,6.889410289700751,580.1330000000005,3.8427000000000033,9,4,CNC(=O)c1ccccc1Nc2nc(Nc3ccc4CC(CCCc4c3OC)N5CCN(CCO)CC5)ncc2Cl,-
CHEMBL3934099,-,-,inactive,6.0893755951107975,589.1440000000001,4.668800000000004,10,3,COc1c2CCCC(Cc2ccc1Nc3ncc(Cl)c(Nc4ccccc4n5cccn5)n3)N6CCN(CCO)CC6,-
CHEMBL3961598,-,-,inactive,6.141462802430362,603.171,4.883600000000005,10,3,COc1c2CCCC(Cc2ccc1Nc3ncc(Cl)c(Nc4ccccc4c5nccn5C)n3)N6CCN(CCO)CC6,-
CHEMBL3943066,-,-,inactive,6.038578905933552,553.1070000000004,4.491700000000003,9,3,COc1ccccc1Nc2nc(Nc3ccc4CC(CCCc4c3OC)N5CCN(CCO)CC5)ncc2Cl,-
CHEMBL3972653,-,-,inactive,7.091514981121351,580.1330000000005,3.8427000000000033,9,4,CNC(=O)c1ccccc1Nc2nc(Nc3ccc4C[C@@H](CCCc4c3OC)N5CCN(CCO)CC5)ncc2Cl,-
CHEMBL3951811,-,-,inactive,7.187086643357143,580.1330000000005,3.8427000000000033,9,4,CNC(=O)c1ccccc1Nc2nc(Nc3ccc4C[C@H](CCCc4c3OC)N5CCN(CCO)CC5)ncc2Cl,-
CHEMBL3884319,-,-,inactive,5.923723744595783,386.45500000000004,4.2375000000000025,5,2,CC1(C)C(=O)N([C@H]2CCc3c(O)cccc23)c4nc(Nc5ccccc5)ncc14,-
CHEMBL3918937,-,-,inactive,7.0,635.6750000000004,6.681400000000005,9,2,COc1ccc(cc1C(=O)Nc2c(F)cccc2F)c3nc4ccccn4c3c5ccnc(Nc6cccc(OCCN(C)C)c6)n5,-
CHEMBL3897153,-,-,inactive,7.0,737.8330000000001,6.9286200000000076,10,2,Cc1cc(OC2CCN(CCS(=O)(=O)C)CC2)ccc1Nc3nccc(n3)c4c(nc5ccccn45)c6cccc(c6)C(=O)Nc7c(F)cccc7F,-
CHEMBL3978486,-,-,inactive,7.0,598.6170000000001,7.132900000000005,8,2,Cn1cc(cn1)c2cccc(Nc3nccc(n3)c4c(nc5ccccn45)c6cccc(c6)C(=O)Nc7c(F)cccc7F)c2,-
CHEMBL3970155,-,-,inactive,7.0,728.848,8.504120000000004,9,2,COc1cc(ccc1Nc2nccc(n2)c3c(nc4cc(C)ccn34)c5cccc(c5)C(=O)Nc6c(F)cccc6F)N7CCC(CC7)N8CCCCC8,-
CHEMBL3902678,-,-,inactive,7.0,742.875,8.975900000000003,9,2,CCCOc1cc(ccc1Nc2nccc(n2)c3c(nc4ccccn34)c5cccc(c5)C(=O)Nc6c(F)cccc6F)N7CCC(CC7)N8CCCCC8,-
CHEMBL3951967,-,-,inactive,7.0,728.8480000000001,8.585800000000004,9,2,CCOc1cc(ccc1Nc2nccc(n2)c3c(nc4ccccn34)c5cccc(c5)C(=O)Nc6c(F)cccc6F)N7CCC(CC7)N8CCCCC8,-
CHEMBL3981747,-,-,inactive,7.0,742.8750000000001,8.974300000000003,9,2,CC(C)Oc1cc(ccc1Nc2nccc(n2)c3c(nc4ccccn34)c5cccc(c5)C(=O)Nc6c(F)cccc6F)N7CCC(CC7)N8CCCCC8,-
CHEMBL3983417,-,-,inactive,7.0,744.8470000000004,8.204300000000007,10,2,COc1ccn2c(c3ccnc(Nc4ccc(cc4OC)N5CCC(CC5)N6CCCCC6)n3)c(nc2c1)c7cccc(c7)C(=O)Nc8c(F)cccc8F,-
CHEMBL3891515,-,-,inactive,7.0,712.849,8.749500000000003,8,2,CCc1cc(ccc1Nc2nccc(n2)c3c(nc4ccccn34)c5cccc(c5)C(=O)Nc6c(F)cccc6F)N7CCC(CC7)N8CCCCC8,-
CHEMBL3893349,-,-,inactive,7.0,726.8760000000001,9.139600000000003,8,2,CCCc1cc(ccc1Nc2nccc(n2)c3c(nc4ccccn34)c5cccc(c5)C(=O)Nc6c(F)cccc6F)N7CCC(CC7)N8CCCCC8,-
CHEMBL3903251,-,-,inactive,7.0,728.848,8.504120000000004,9,2,COc1cc(ccc1Nc2nccc(n2)c3c(nc4c(C)cccn34)c5cccc(c5)C(=O)Nc6c(F)cccc6F)N7CCC(CC7)N8CCCCC8,-
CHEMBL3905921,-,-,inactive,7.0,731.276,8.710000000000003,9,2,COc1cc(ccc1Nc2nccc(n2)c3c(nc4ccccn34)c5cccc(c5)C(=O)Nc6ccc(F)cc6Cl)N7CCC(CC7)N8CCCCC8,-
CHEMBL3907756,-,-,inactive,7.0,731.276,8.710000000000003,9,2,COc1cc(ccc1Nc2nccc(n2)c3c(nc4ccccn34)c5cccc(c5)C(=O)Nc6ccc(Cl)cc6F)N7CCC(CC7)N8CCCCC8,-
CHEMBL3917543,-,-,inactive,7.0,728.8480000000001,8.441700000000006,9,2,COc1cc(ccc1Nc2nccc(n2)c3c(nc4ccccn34)c5cccc(c5)C(=O)Nc6c(F)cccc6F)N7CCC(CC7)N8CCC(C)CC8,-
CHEMBL454796,-,-,inactive,7.0,744.8470000000001,7.819000000000009,10,2,COc1cc(ccc1Nc2nccc(n2)c3c(nc4ccccn34)c5cccc(c5)C(=O)Nc6c(F)cccc6F)N7CCC(CC7)N8C[C@@H](C)O[C@@H](C)C8,-
CHEMBL3920487,-,-,inactive,7.0,743.863,7.347300000000007,10,2,COc1cc(ccc1Nc2nccc(n2)c3c(nc4ccccn34)c5cccc(c5)C(=O)Nc6c(F)cccc6F)N7CCC(CC7)N8CCCN(C)CC8,-
CHEMBL3937659,-,-,inactive,7.0,732.811,8.143700000000006,9,2,COc1cc(ccc1Nc2nccc(n2)c3c(nc4ccccn34)c5cccc(c5)C(=O)Nc6c(F)cccc6F)N7CCC(CC7)N8CCC(F)CC8,-
CHEMBL3934864,-,-,inactive,7.0,782.8180000000002,8.984100000000002,9,2,COc1cc(ccc1Nc2nccc(n2)c3c(nc4ccccn34)c5cccc(c5)C(=O)Nc6c(F)cccc6F)N7CCC(CC7)N8CCC(CC8)C(F)(F)F,-
